Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,DOGE_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,LISK_start_date,price_close,volume_traded,WAVES_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,SC_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,LINK_start_date,price_close,volume_traded
April,2020-04-08T00:00:00.0000000Z,6903.7,266103.7412,2020-04-08T00:00:00.0000000Z,158.72,2052695.451,2020-04-08T00:00:00.0000000Z,42.02,668967.8972,2020-04-08T00:00:00.0000000Z,0.0335,24705683.06,2020-04-08T00:00:00.0000000Z,0.0019894,14055824.97,2020-04-08T00:00:00.0000000Z,0.048954,20975861.95,2020-04-08T00:00:00.0000000Z,0.18968,75102824.48,2020-04-08T00:00:00.0000000Z,0.984914,1874555.83,2020-04-08T00:00:00.0000000Z,1.0082,250271.8329,2020-04-08T00:00:00.0000000Z,0.18968,75102824.48,2020-04-08T00:00:00.0000000Z,0.00133,21103966.89,2020-04-08T00:00:00.0000000Z,1.0013,108117050.2,2020-04-08T00:00:00.0000000Z,74.335,15829.30915,2020-04-08T00:00:00.0000000Z,3.42001,2887559.312
April,2020-04-13T00:00:00.0000000Z,7034.1,42653.54983,2020-04-13T00:00:00.0000000Z,170.92,443350.1937,2020-04-13T00:00:00.0000000Z,42.32,103372.7256,2020-04-13T00:00:00.0000000Z,0.0345,19400402.39,2020-04-13T00:00:00.0000000Z,0.0019868,6954579.348,2020-04-13T00:00:00.0000000Z,0.048819,10548954.3,2020-04-13T00:00:00.0000000Z,0.1888,67962730.59,2020-04-13T00:00:00.0000000Z,1.050119,71318.06478,2020-04-13T00:00:00.0000000Z,0.997,71308.2544,2020-04-13T00:00:00.0000000Z,0.1888,67962730.59,2020-04-13T00:00:00.0000000Z,0.00133,50626538.25,2020-04-13T00:00:00.0000000Z,1.0013,27363739.98,2020-04-13T00:00:00.0000000Z,76.2,13244.88287,2020-04-13T00:00:00.0000000Z,3.455,1586959.719
April,2020-04-18T00:00:00.0000000Z,7136.9,26356.08855,2020-04-18T00:00:00.0000000Z,183.16,514753.8432,2020-04-18T00:00:00.0000000Z,41.83,82151.75552,2020-04-18T00:00:00.0000000Z,0.036665,21887263.97,2020-04-18T00:00:00.0000000Z,0.0020049,25091526.11,2020-04-18T00:00:00.0000000Z,0.054765,15325963.05,2020-04-18T00:00:00.0000000Z,0.18815,54905924.95,2020-04-18T00:00:00.0000000Z,1.02,131106.5667,2020-04-18T00:00:00.0000000Z,0.9966,123549.4421,2020-04-18T00:00:00.0000000Z,0.18815,54905924.95,2020-04-18T00:00:00.0000000Z,0.00136,17249703.95,2020-04-18T00:00:00.0000000Z,1.0014,26087742.84,2020-04-18T00:00:00.0000000Z,80.777,16237.39096,2020-04-18T00:00:00.0000000Z,3.68806,1287703.827
April,2020-04-23T00:00:00.0000000Z,7792.4,35403.57832,2020-04-23T00:00:00.0000000Z,196.84,495507.9739,2020-04-23T00:00:00.0000000Z,44.56,83561.18098,2020-04-23T00:00:00.0000000Z,0.046617,47436009.55,2020-04-23T00:00:00.0000000Z,0.0023478,57438660.37,2020-04-23T00:00:00.0000000Z,0.067307,37100854.85,2020-04-23T00:00:00.0000000Z,0.19792,53680351.52,2020-04-23T00:00:00.0000000Z,1.178366,138720.6441,2020-04-23T00:00:00.0000000Z,1.0579,125876.9442,2020-04-23T00:00:00.0000000Z,0.19792,53680351.52,2020-04-23T00:00:00.0000000Z,0.0017,94367190.79,2020-04-23T00:00:00.0000000Z,1.0015,25254944.4,2020-04-23T00:00:00.0000000Z,82.8,9601.187637,2020-04-23T00:00:00.0000000Z,3.63417,1035141.942
April,2020-04-28T00:00:00.0000000Z,8983.1,63075.29429,2020-04-28T00:00:00.0000000Z,214.11,478487.5706,2020-04-28T00:00:00.0000000Z,49.21,150267.5746,2020-04-28T00:00:00.0000000Z,0.05097,67857306.05,2020-04-28T00:00:00.0000000Z,0.0025415,115309282.2,2020-04-28T00:00:00.0000000Z,0.075529,44288819.63,2020-04-28T00:00:00.0000000Z,0.224,124688499.9,2020-04-28T00:00:00.0000000Z,1.272133,241854.8957,2020-04-28T00:00:00.0000000Z,1.0929,281582.2571,2020-04-28T00:00:00.0000000Z,0.224,124688499.9,2020-04-28T00:00:00.0000000Z,0.0022,128128850.5,2020-04-28T00:00:00.0000000Z,1.0012,37843551.34,2020-04-28T00:00:00.0000000Z,83.324,14397.08505,2020-04-28T00:00:00.0000000Z,3.814,1089697.743
May,2020-05-03T00:00:00.0000000Z,10001,53727.91391,2020-05-03T00:00:00.0000000Z,212.34,427891.7274,2020-05-03T00:00:00.0000000Z,47.42,100441.4176,2020-05-03T00:00:00.0000000Z,0.051281,50742342.42,2020-05-03T00:00:00.0000000Z,0.0026201,49295928.76,2020-05-03T00:00:00.0000000Z,0.07222,40708640.49,2020-05-03T00:00:00.0000000Z,0.2188,53938507.85,2020-05-03T00:00:00.0000000Z,1.218851,80945.99035,2020-05-03T00:00:00.0000000Z,1.0496,109644.715,2020-05-03T00:00:00.0000000Z,0.2188,53938507.85,2020-05-03T00:00:00.0000000Z,0.0023,96652930.46,2020-05-03T00:00:00.0000000Z,1.0016,32308106.36,2020-05-03T00:00:00.0000000Z,78.904,8802.123737,2020-05-03T00:00:00.0000000Z,3.75721,993456.3556
May,2020-05-08T00:00:00.0000000Z,8823.7,64763.06499,2020-05-08T00:00:00.0000000Z,189.72,373707.3035,2020-05-08T00:00:00.0000000Z,42.14,137310.341,2020-05-08T00:00:00.0000000Z,0.050492,74965444.12,2020-05-08T00:00:00.0000000Z,0.00246,47830102.26,2020-05-08T00:00:00.0000000Z,0.0701,43256719.6,2020-05-08T00:00:00.0000000Z,0.19709,76889495.64,2020-05-08T00:00:00.0000000Z,1.088091,156514.5825,2020-05-08T00:00:00.0000000Z,1.08,251866.9086,2020-05-08T00:00:00.0000000Z,0.19709,76889495.64,2020-05-08T00:00:00.0000000Z,0.00194,57463344.32,2020-05-08T00:00:00.0000000Z,1.0007,48355778.76,2020-05-08T00:00:00.0000000Z,73.133,11424.23519,2020-05-08T00:00:00.0000000Z,3.70502,1623359.997
May,2020-05-13T00:00:00.0000000Z,9673,45503.21609,2020-05-13T00:00:00.0000000Z,206.94,253426.3662,2020-05-13T00:00:00.0000000Z,43.64,75422.50133,2020-05-13T00:00:00.0000000Z,0.051267,36050690.62,2020-05-13T00:00:00.0000000Z,0.00254,11228332.98,2020-05-13T00:00:00.0000000Z,0.068938,20839969.32,2020-05-13T00:00:00.0000000Z,0.20109,37932306.46,2020-05-13T00:00:00.0000000Z,1.127824,67952.11177,2020-05-13T00:00:00.0000000Z,1.0564,282443.8331,2020-05-13T00:00:00.0000000Z,0.20109,37932306.46,2020-05-13T00:00:00.0000000Z,0.00208,51729770.02,2020-05-13T00:00:00.0000000Z,0.9999,31613415.43,2020-05-13T00:00:00.0000000Z,75,6578.930153,2020-05-13T00:00:00.0000000Z,3.78247,804175.1881
May,2020-05-18T00:00:00.0000000Z,9169,44267.43284,2020-05-18T00:00:00.0000000Z,207.23,285370.822,2020-05-18T00:00:00.0000000Z,44.14,87352.03028,2020-05-18T00:00:00.0000000Z,0.055704,52779958.12,2020-05-18T00:00:00.0000000Z,0.0025294,12654238.82,2020-05-18T00:00:00.0000000Z,0.068001,17502557.76,2020-05-18T00:00:00.0000000Z,0.20005,49493738.46,2020-05-18T00:00:00.0000000Z,1.189718,112187.3872,2020-05-18T00:00:00.0000000Z,1.0841,204087.8465,2020-05-18T00:00:00.0000000Z,0.20005,49493738.46,2020-05-18T00:00:00.0000000Z,0.00212,92782345.49,2020-05-18T00:00:00.0000000Z,1,29033532.43,2020-05-18T00:00:00.0000000Z,74.337,9079.568799,2020-05-18T00:00:00.0000000Z,4.05599,954059.9718
May,2020-05-23T00:00:00.0000000Z,9213.9,28244.21416,2020-05-23T00:00:00.0000000Z,208.28,169092.9179,2020-05-23T00:00:00.0000000Z,43.75,48506.31019,2020-05-23T00:00:00.0000000Z,0.055055,35820521.5,2020-05-23T00:00:00.0000000Z,0.0025212,49113058.04,2020-05-23T00:00:00.0000000Z,0.06603,15222271.4,2020-05-23T00:00:00.0000000Z,0.19764,36402048.25,2020-05-23T00:00:00.0000000Z,1.225631,66797.77905,2020-05-23T00:00:00.0000000Z,1.0655,201843.1301,2020-05-23T00:00:00.0000000Z,0.19764,36402048.25,2020-05-23T00:00:00.0000000Z,0.00239,117235377.9,2020-05-23T00:00:00.0000000Z,1,26777677.04,2020-05-23T00:00:00.0000000Z,73.596,7365.622028,2020-05-23T00:00:00.0000000Z,3.86301,570286.3771
May,2020-05-28T00:00:00.0000000Z,10206.2,32814.91277,2020-05-28T00:00:00.0000000Z,248.45,388910.2895,2020-05-28T00:00:00.0000000Z,48.25,76702.81764,2020-05-28T00:00:00.0000000Z,0.081078,222757550.4,2020-05-28T00:00:00.0000000Z,0.0026741,47823637.32,2020-05-28T00:00:00.0000000Z,0.075602,39122533.36,2020-05-28T00:00:00.0000000Z,0.21105,38396578.07,2020-05-28T00:00:00.0000000Z,1.246337,62247.51811,2020-05-28T00:00:00.0000000Z,1.1453,203215.1923,2020-05-28T00:00:00.0000000Z,0.21105,38396578.07,2020-05-28T00:00:00.0000000Z,0.00253,55694040.73,2020-05-28T00:00:00.0000000Z,1.0012,42458099.58,2020-05-28T00:00:00.0000000Z,80.197,13029.77018,2020-05-28T00:00:00.0000000Z,4.3828,1168625.884
