Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded
May,2018-05-24T00:00:00.0000000Z,7102.6,20041.93377,2018-05-24T00:00:00.0000000Z,511.88,230692.5551,2018-05-24T00:00:00.0000000Z,111.11,35544.50749,2018-05-24T00:00:00.0000000Z,0.548,24627574.06,2018-05-24T00:00:00.0000000Z,0.247672,21748406.41,2018-05-24T00:00:00.0000000Z,0.548,24627574.06,2018-05-24T00:00:00.0000000Z,0.9999,4243613.245,2018-05-24T00:00:00.0000000Z,285,3196.965529,2018-05-24T00:00:00.0000000Z,0,0
May,2018-05-29T00:00:00.0000000Z,7636.1,17470.06785,2018-05-29T00:00:00.0000000Z,590.47,252529.1684,2018-05-29T00:00:00.0000000Z,123.33,42911.71612,2018-05-29T00:00:00.0000000Z,0.64207,28215656.06,2018-05-29T00:00:00.0000000Z,0.29889,27583150.8,2018-05-29T00:00:00.0000000Z,0.64207,28215656.06,2018-05-29T00:00:00.0000000Z,0.9999,7253820.01,2018-05-29T00:00:00.0000000Z,321.483,5024.272527,2018-05-29T00:00:00.0000000Z,0,0
June,2018-06-03T00:00:00.0000000Z,7679.4,13778.80429,2018-06-03T00:00:00.0000000Z,602.99,198000.0237,2018-06-03T00:00:00.0000000Z,121.27,69751.31916,2018-06-03T00:00:00.0000000Z,0.67821,31929899.07,2018-06-03T00:00:00.0000000Z,0.291081,15013299.81,2018-06-03T00:00:00.0000000Z,0.67821,31929899.07,2018-06-03T00:00:00.0000000Z,0.9987,6707731.356,2018-06-03T00:00:00.0000000Z,312.308,1947.706521,2018-06-03T00:00:00.0000000Z,0,0
June,2018-06-08T00:00:00.0000000Z,6547.2,19553.43026,2018-06-08T00:00:00.0000000Z,495,269325.6818,2018-06-08T00:00:00.0000000Z,99.94,65352.9716,2018-06-08T00:00:00.0000000Z,0.55845,24840518.73,2018-06-08T00:00:00.0000000Z,0.227579,21006997.31,2018-06-08T00:00:00.0000000Z,0.55845,24840518.73,2018-06-08T00:00:00.0000000Z,1.0002,4178627.295,2018-06-08T00:00:00.0000000Z,257.234,3184.016981,2018-06-08T00:00:00.0000000Z,0,0
June,2018-06-13T00:00:00.0000000Z,6440.8,22279.37747,2018-06-13T00:00:00.0000000Z,495.03,382156.2829,2018-06-13T00:00:00.0000000Z,94.93,53600.32539,2018-06-13T00:00:00.0000000Z,0.5259,24423480.1,2018-06-13T00:00:00.0000000Z,0.2292,14463339.15,2018-06-13T00:00:00.0000000Z,0.5259,24423480.1,2018-06-13T00:00:00.0000000Z,1.0003,7966418.714,2018-06-13T00:00:00.0000000Z,264.8,4793.971859,2018-06-13T00:00:00.0000000Z,0,0
June,2018-06-18T00:00:00.0000000Z,6055.5,21279.54644,2018-06-18T00:00:00.0000000Z,462.28,271774.2339,2018-06-18T00:00:00.0000000Z,84.77,45593.67548,2018-06-18T00:00:00.0000000Z,0.48164,18645135.69,2018-06-18T00:00:00.0000000Z,0.2,15750481.27,2018-06-18T00:00:00.0000000Z,0.48164,18645135.69,2018-06-18T00:00:00.0000000Z,1.0005,4997148.126,2018-06-18T00:00:00.0000000Z,235.234,3372.094583,2018-06-18T00:00:00.0000000Z,0,0
June,2018-06-23T00:00:00.0000000Z,6134.2,24955.61388,2018-06-23T00:00:00.0000000Z,441.53,311755.9247,2018-06-23T00:00:00.0000000Z,80.78,53192.62363,2018-06-23T00:00:00.0000000Z,0.471,19822936.23,2018-06-23T00:00:00.0000000Z,0.190804,17550763.71,2018-06-23T00:00:00.0000000Z,0.471,19822936.23,2018-06-23T00:00:00.0000000Z,1,6283367.731,2018-06-23T00:00:00.0000000Z,230.236,4793.949643,2018-06-23T00:00:00.0000000Z,0,0
June,2018-06-28T00:00:00.0000000Z,6617.7,18536.33229,2018-06-28T00:00:00.0000000Z,476.65,225655.9346,2018-06-28T00:00:00.0000000Z,85.39,43219.82744,2018-06-28T00:00:00.0000000Z,0.4891,21379653.17,2018-06-28T00:00:00.0000000Z,0.215449,24104128.88,2018-06-28T00:00:00.0000000Z,0.4891,21379653.17,2018-06-28T00:00:00.0000000Z,0.999,5613928.198,2018-06-28T00:00:00.0000000Z,249.998,6918.782913,2018-06-28T00:00:00.0000000Z,0,0
July,2018-07-03T00:00:00.0000000Z,6755.1,14753.93989,2018-07-03T00:00:00.0000000Z,484.04,175558.6453,2018-07-03T00:00:00.0000000Z,84.98,38892.88395,2018-07-03T00:00:00.0000000Z,0.48449,15231156.52,2018-07-03T00:00:00.0000000Z,0.208909,16475749.67,2018-07-03T00:00:00.0000000Z,0.48449,15231156.52,2018-07-03T00:00:00.0000000Z,0.9997,2990400.696,2018-07-03T00:00:00.0000000Z,246.01,2552.061232,2018-07-03T00:00:00.0000000Z,0,0
July,2018-07-08T00:00:00.0000000Z,6242.5,16339.84201,2018-07-08T00:00:00.0000000Z,430.45,245037.8844,2018-07-08T00:00:00.0000000Z,76.85,39112.26439,2018-07-08T00:00:00.0000000Z,0.43656,19536011.47,2018-07-08T00:00:00.0000000Z,0.182955,26598075.47,2018-07-08T00:00:00.0000000Z,0.43656,19536011.47,2018-07-08T00:00:00.0000000Z,0.9989,3327975.615,2018-07-08T00:00:00.0000000Z,210.7,7451.135868,2018-07-08T00:00:00.0000000Z,0,0
