Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,zec_start_date,price_close,volume_traded
Sept,2016-09-06T00:00:00.0000000Z,624.889,3487.851254,2016-09-06T00:00:00.0000000Z,0,0,2016-09-06T00:00:00.0000000Z,3.94934,1355.131431,2016-09-06T00:00:00.0000000Z,0,0
Sept,2016-09-11T00:00:00.0000000Z,609.962,3241.878226,2016-09-11T00:00:00.0000000Z,0,0,2016-09-11T00:00:00.0000000Z,3.87113,918.4957839,2016-09-11T00:00:00.0000000Z,0,0
Sept,2016-09-16T00:00:00.0000000Z,603.8,2603.489352,2016-09-16T00:00:00.0000000Z,0,0,2016-09-16T00:00:00.0000000Z,3.72001,1868.885519,2016-09-16T00:00:00.0000000Z,0,0
Sept,2016-09-21T00:00:00.0000000Z,599.998,2758.344457,2016-09-21T00:00:00.0000000Z,0,0,2016-09-21T00:00:00.0000000Z,3.73282,1678.170453,2016-09-21T00:00:00.0000000Z,0,0
Sept,2016-09-26T00:00:00.0000000Z,612.5,2944.80722,2016-09-26T00:00:00.0000000Z,0,0,2016-09-26T00:00:00.0000000Z,3.83373,3301.28236,2016-09-26T00:00:00.0000000Z,0,0
Oct,2016-10-01T00:00:00.0000000Z,614.956,2629.062053,2016-10-01T00:00:00.0000000Z,0,0,2016-10-01T00:00:00.0000000Z,3.86532,4161.808956,2016-10-01T00:00:00.0000000Z,0,0
Oct,2016-10-06T00:00:00.0000000Z,618.76,3695.537386,2016-10-06T00:00:00.0000000Z,0,0,2016-10-06T00:00:00.0000000Z,3.78278,3409.770068,2016-10-06T00:00:00.0000000Z,0,0
Oct,2016-10-11T00:00:00.0000000Z,640.749,4431.976806,2016-10-11T00:00:00.0000000Z,0,0,2016-10-11T00:00:00.0000000Z,3.84944,1118.976087,2016-10-11T00:00:00.0000000Z,0,0
Oct,2016-10-16T00:00:00.0000000Z,630.05,2897.666488,2016-10-16T00:00:00.0000000Z,12.04775,61885.00051,2016-10-16T00:00:00.0000000Z,3.77001,1486.418002,2016-10-16T00:00:00.0000000Z,0,0
Oct,2016-10-21T00:00:00.0000000Z,655.889,6027.921649,2016-10-21T00:00:00.0000000Z,11.35,72855.32665,2016-10-21T00:00:00.0000000Z,3.86074,5812.436328,2016-10-21T00:00:00.0000000Z,0,0
Oct,2016-10-26T00:00:00.0000000Z,700.917,7735.778036,2016-10-26T00:00:00.0000000Z,11.26309,135618.7086,2016-10-26T00:00:00.0000000Z,4.04822,4285.408016,2016-10-26T00:00:00.0000000Z,0,0
Oct,2016-10-31T00:00:00.0000000Z,706.036,11295.29417,2016-10-31T00:00:00.0000000Z,11.13347,159084.1183,2016-10-31T00:00:00.0000000Z,3.82216,5721.154944,2016-10-31T00:00:00.0000000Z,0,0
Nov,2016-11-05T00:00:00.0000000Z,722.4,5864.811507,2016-11-05T00:00:00.0000000Z,10.6929,80616.71859,2016-11-05T00:00:00.0000000Z,3.8256,2217.477318,2016-11-05T00:00:00.0000000Z,240.03306,5.73982983
Nov,2016-11-10T00:00:00.0000000Z,706.994,4453.647574,2016-11-10T00:00:00.0000000Z,10.03473,87937.17684,2016-11-10T00:00:00.0000000Z,3.85466,2869.417041,2016-11-10T00:00:00.0000000Z,105.10205,187.8182182
Nov,2016-11-15T00:00:00.0000000Z,751.99,9897.893369,2016-11-15T00:00:00.0000000Z,9.7377,88563.74461,2016-11-15T00:00:00.0000000Z,3.95,3883.491399,2016-11-15T00:00:00.0000000Z,63.09867,263.131116
Nov,2016-11-20T00:00:00.0000000Z,738.44,5916.380963,2016-11-20T00:00:00.0000000Z,9.20754,106069.2506,2016-11-20T00:00:00.0000000Z,3.86821,1198.211432,2016-11-20T00:00:00.0000000Z,100,650.958026
Nov,2016-11-25T00:00:00.0000000Z,732,4113.009017,2016-11-25T00:00:00.0000000Z,8.14285,131413.0609,2016-11-25T00:00:00.0000000Z,3.8548,518.776637,2016-11-25T00:00:00.0000000Z,68,692.543101
Nov,2016-11-30T00:00:00.0000000Z,769,6164.363562,2016-11-30T00:00:00.0000000Z,7.36101,171157.2727,2016-11-30T00:00:00.0000000Z,3.9073,771.4041314,2016-11-30T00:00:00.0000000Z,57.85,867.989407
Dec,2016-12-05T00:00:00.0000000Z,771.668,5310.1172,2016-12-05T00:00:00.0000000Z,8.35578,333932.419,2016-12-05T00:00:00.0000000Z,3.6639,4970.338949,2016-12-05T00:00:00.0000000Z,49.47876,1073.438346
Dec,2016-12-10T00:00:00.0000000Z,777.559,4327.384062,2016-12-10T00:00:00.0000000Z,8.21262,92702.73443,2016-12-10T00:00:00.0000000Z,3.59731,2827.444004,2016-12-10T00:00:00.0000000Z,44,319.0188544
Dec,2016-12-15T00:00:00.0000000Z,792.54,3472.556642,2016-12-15T00:00:00.0000000Z,7.61649,112537.4089,2016-12-15T00:00:00.0000000Z,3.62656,355.7121624,2016-12-15T00:00:00.0000000Z,34.98007,774.0833719
Dec,2016-12-20T00:00:00.0000000Z,895.47,11321.7082,2016-12-20T00:00:00.0000000Z,7.26,125212.3281,2016-12-20T00:00:00.0000000Z,4.44289,15975.71614,2016-12-20T00:00:00.0000000Z,46.77468,1170.076142
Dec,2016-12-25T00:00:00.0000000Z,974.32,11094.15971,2016-12-25T00:00:00.0000000Z,8.3639,176982.0213,2016-12-25T00:00:00.0000000Z,4.42463,7268.917278,2016-12-25T00:00:00.0000000Z,51.49872,690.7684962
Dec,2016-12-30T00:00:00.0000000Z,960.769,2162.442584,2016-12-30T00:00:00.0000000Z,8.20027,38962.76006,2016-12-30T00:00:00.0000000Z,4.44044,848.3393947,2016-12-30T00:00:00.0000000Z,52.00272,56.6762566
