,BTC_start_date,price_open,price_close,ETH_start_date,price_open,price_close,LTC_start_date,price_open,price_close,ZEC_start_date,price_open,price_close,USDT_start_date,price_open,price_close,XLM_start_date,price_open,price_close,XRP_start_date,price_open,price_close,DASH_start_date,price_open,price_close,ADA_start_date,price_open,price_close,SOL_start_date,price_open,price_close,DOGE_start_date,price_open,price_close,LISK_start_date,price_open,price_close,WAVES_start_date,price_open,price_close,LINK_start_date,price_open,price_close
20,2021-03-01T00:00:00.0000000Z,45244.96,50421.19,2021-03-01T00:00:00.0000000Z,1421.8,1567.86,2021-03-01T00:00:00.0000000Z,165.58,187.61,2021-03-01T00:00:00.0000000Z,111.41,127.0,2021-03-01T00:00:00.0000000Z,1.0016,1.0003,2021-03-01T00:00:00.0000000Z,0.406521,0.4214,2021-03-01T00:00:00.0000000Z,0.41662,0.44935,2021-03-01T00:00:00.0000000Z,197.2,222.421,2021-03-01T00:00:00.0000000Z,1.316434,1.215688,2021-03-01T00:00:00.0000000Z,13.3998,14.1517,2021-03-01T00:00:00.0000000Z,0.048308,0.0505212,2021-03-01T00:00:00.0000000Z,2.938605,3.243666,2021-03-01T00:00:00.0000000Z,9.0236,9.9088,2021-03-01T00:00:00.0000000Z,24.77722,29.95
21,2021-03-04T00:00:00.0000000Z,50395.09,48872.23,2021-03-04T00:00:00.0000000Z,1568.4,1651.83,2021-03-04T00:00:00.0000000Z,187.62,182.85,2021-03-04T00:00:00.0000000Z,125.98,125.21,2021-03-04T00:00:00.0000000Z,1.0004,1.0005,2021-03-04T00:00:00.0000000Z,0.420611,0.4025,2021-03-04T00:00:00.0000000Z,0.44818,0.46318,2021-03-04T00:00:00.0000000Z,222.66,208.783,2021-03-04T00:00:00.0000000Z,1.215,1.12848,2021-03-04T00:00:00.0000000Z,14.0801,13.0757,2021-03-04T00:00:00.0000000Z,0.0504787,0.0509969,2021-03-04T00:00:00.0000000Z,3.213689,3.206368,2021-03-04T00:00:00.0000000Z,9.961,10.0128,2021-03-04T00:00:00.0000000Z,29.90948,28.15
22,2021-03-07T00:00:00.0000000Z,48917.43,54920.8,2021-03-07T00:00:00.0000000Z,1651.75,1871.99,2021-03-07T00:00:00.0000000Z,182.88,203.98,2021-03-07T00:00:00.0000000Z,125.56,138.08,2021-03-07T00:00:00.0000000Z,1.0005,1.0006,2021-03-07T00:00:00.0000000Z,0.402027,0.432675,2021-03-07T00:00:00.0000000Z,0.46426,0.48555,2021-03-07T00:00:00.0000000Z,208.924,244.234,2021-03-07T00:00:00.0000000Z,1.129999,1.199001,2021-03-07T00:00:00.0000000Z,13.088,14.865,2021-03-07T00:00:00.0000000Z,0.0509883,0.0579873,2021-03-07T00:00:00.0000000Z,3.210843,3.411114,2021-03-07T00:00:00.0000000Z,9.9853,10.713,2021-03-07T00:00:00.0000000Z,28.19795,31.50646
23,2021-03-10T00:00:00.0000000Z,54900.04,57222.91,2021-03-10T00:00:00.0000000Z,1871.93,1767.79,2021-03-10T00:00:00.0000000Z,204.02,220.84,2021-03-10T00:00:00.0000000Z,138.0,145.32,2021-03-10T00:00:00.0000000Z,1.0005,1.0,2021-03-10T00:00:00.0000000Z,0.43233,0.38699,2021-03-10T00:00:00.0000000Z,0.48555,0.43941,2021-03-10T00:00:00.0000000Z,244.554,225.448,2021-03-10T00:00:00.0000000Z,1.199,1.032901,2021-03-10T00:00:00.0000000Z,14.865,14.55,2021-03-10T00:00:00.0000000Z,0.0579814,0.0553272,2021-03-10T00:00:00.0000000Z,3.340001,3.149525,2021-03-10T00:00:00.0000000Z,10.7542,9.8791,2021-03-10T00:00:00.0000000Z,31.51009,28.37043
24,2021-03-13T00:00:00.0000000Z,57229.24,55679.63,2021-03-13T00:00:00.0000000Z,1766.76,1795.07,2021-03-13T00:00:00.0000000Z,220.83,200.82,2021-03-13T00:00:00.0000000Z,145.49,135.21,2021-03-13T00:00:00.0000000Z,1.0,1.0001,2021-03-13T00:00:00.0000000Z,0.386966,0.383419,2021-03-13T00:00:00.0000000Z,0.43821,0.43562,2021-03-13T00:00:00.0000000Z,224.405,221.432,2021-03-13T00:00:00.0000000Z,1.032843,1.031434,2021-03-13T00:00:00.0000000Z,14.5688,14.1559,2021-03-13T00:00:00.0000000Z,0.0552594,0.056956,2021-03-13T00:00:00.0000000Z,3.132358,3.306438,2021-03-13T00:00:00.0000000Z,9.7454,9.6404,2021-03-13T00:00:00.0000000Z,28.37044,27.45327
25,2021-03-16T00:00:00.0000000Z,55611.77,57634.37,2021-03-16T00:00:00.0000000Z,1794.08,1776.4,2021-03-16T00:00:00.0000000Z,200.65,199.65,2021-03-16T00:00:00.0000000Z,134.82,143.05,2021-03-16T00:00:00.0000000Z,1.0001,0.9999,2021-03-16T00:00:00.0000000Z,0.384029,0.394688,2021-03-16T00:00:00.0000000Z,0.43593,0.46898,2021-03-16T00:00:00.0000000Z,221.845,226.239,2021-03-16T00:00:00.0000000Z,1.03258,1.230974,2021-03-16T00:00:00.0000000Z,14.2,14.1909,2021-03-16T00:00:00.0000000Z,0.057104,0.0573107,2021-03-16T00:00:00.0000000Z,3.249014,3.74,2021-03-16T00:00:00.0000000Z,9.5951,10.3362,2021-03-16T00:00:00.0000000Z,27.50515,29.4455
26,2021-03-19T00:00:00.0000000Z,57639.48,57355.94,2021-03-19T00:00:00.0000000Z,1776.4,1784.0,2021-03-19T00:00:00.0000000Z,199.74,195.53,2021-03-19T00:00:00.0000000Z,142.78,148.24,2021-03-19T00:00:00.0000000Z,0.9999,1.0004,2021-03-19T00:00:00.0000000Z,0.394449,0.403546,2021-03-19T00:00:00.0000000Z,0.46902,0.5171,2021-03-19T00:00:00.0000000Z,225.346,221.095,2021-03-19T00:00:00.0000000Z,1.230974,1.187002,2021-03-19T00:00:00.0000000Z,14.2215,14.3388,2021-03-19T00:00:00.0000000Z,0.0573427,0.0575047,2021-03-19T00:00:00.0000000Z,3.749744,3.926577,2021-03-19T00:00:00.0000000Z,10.201,9.9241,2021-03-19T00:00:00.0000000Z,29.40737,29.22443
27,2021-03-22T00:00:00.0000000Z,57365.09,52283.88,2021-03-22T00:00:00.0000000Z,1784.11,1581.79,2021-03-22T00:00:00.0000000Z,195.62,175.95,2021-03-22T00:00:00.0000000Z,148.22,128.34,2021-03-22T00:00:00.0000000Z,1.0004,0.9999,2021-03-22T00:00:00.0000000Z,0.40325,0.36147,2021-03-22T00:00:00.0000000Z,0.5172,0.47929,2021-03-22T00:00:00.0000000Z,221.042,191.278,2021-03-22T00:00:00.0000000Z,1.187003,1.068706,2021-03-22T00:00:00.0000000Z,14.3388,13.5958,2021-03-22T00:00:00.0000000Z,0.0575531,0.0516006,2021-03-22T00:00:00.0000000Z,3.8771,4.293798,2021-03-22T00:00:00.0000000Z,9.8145,10.8404,2021-03-22T00:00:00.0000000Z,29.26129,24.87395
28,2021-03-25T00:00:00.0000000Z,52283.88,55845.23,2021-03-25T00:00:00.0000000Z,1581.97,1713.88,2021-03-25T00:00:00.0000000Z,175.95,184.14,2021-03-25T00:00:00.0000000Z,126.94,133.51,2021-03-25T00:00:00.0000000Z,0.9999,1.0002,2021-03-25T00:00:00.0000000Z,0.3615,0.38145,2021-03-25T00:00:00.0000000Z,0.48033,0.54807,2021-03-25T00:00:00.0000000Z,190.547,201.919,2021-03-25T00:00:00.0000000Z,1.068333,1.176839,2021-03-25T00:00:00.0000000Z,13.5818,16.4745,2021-03-25T00:00:00.0000000Z,0.0515016,0.0543893,2021-03-25T00:00:00.0000000Z,4.216615,4.510304,2021-03-25T00:00:00.0000000Z,10.8283,11.8695,2021-03-25T00:00:00.0000000Z,24.83885,26.85165
29,2021-03-28T00:00:00.0000000Z,55845.23,58799.98,2021-03-28T00:00:00.0000000Z,1713.96,1841.16,2021-03-28T00:00:00.0000000Z,184.11,195.73,2021-03-28T00:00:00.0000000Z,133.71,154.76,2021-03-28T00:00:00.0000000Z,1.0002,1.0003,2021-03-28T00:00:00.0000000Z,0.381824,0.401172,2021-03-28T00:00:00.0000000Z,0.5474,0.56336,2021-03-28T00:00:00.0000000Z,201.396,216.364,2021-03-28T00:00:00.0000000Z,1.176948,1.213216,2021-03-28T00:00:00.0000000Z,16.5486,19.1036,2021-03-28T00:00:00.0000000Z,0.0544489,0.0540824,2021-03-28T00:00:00.0000000Z,4.510304,5.950819,2021-03-28T00:00:00.0000000Z,11.8547,12.2957,2021-03-28T00:00:00.0000000Z,26.87645,27.82605
30,2021-03-31T00:00:00.0000000Z,58766.87,58989.99,2021-03-31T00:00:00.0000000Z,1841.03,2134.68,2021-03-31T00:00:00.0000000Z,195.74,211.5,2021-03-31T00:00:00.0000000Z,154.66,169.41,2021-03-31T00:00:00.0000000Z,1.0003,1.0001,2021-03-31T00:00:00.0000000Z,0.40087,0.439514,2021-03-31T00:00:00.0000000Z,0.56314,0.60649,2021-03-31T00:00:00.0000000Z,216.519,243.948,2021-03-31T00:00:00.0000000Z,1.212432,1.19136,2021-03-31T00:00:00.0000000Z,19.1108,19.7987,2021-03-31T00:00:00.0000000Z,0.0541004,0.0576568,2021-03-31T00:00:00.0000000Z,5.982694,5.992722,2021-03-31T00:00:00.0000000Z,12.2835,13.0315,2021-03-31T00:00:00.0000000Z,27.82605,32.47581
31,2021-04-03T00:00:00.0000000Z,58982.26,59128.34,2021-04-03T00:00:00.0000000Z,2134.38,2106.98,2021-04-03T00:00:00.0000000Z,211.4,221.44,2021-04-03T00:00:00.0000000Z,169.7,197.1,2021-04-03T00:00:00.0000000Z,1.0002,1.0,2021-04-03T00:00:00.0000000Z,0.43949,0.536585,2021-04-03T00:00:00.0000000Z,0.6071,0.91431,2021-04-03T00:00:00.0000000Z,243.282,273.202,2021-04-03T00:00:00.0000000Z,1.191,1.211715,2021-04-03T00:00:00.0000000Z,19.8,23.0238,2021-04-03T00:00:00.0000000Z,0.0577154,0.0598831,2021-04-03T00:00:00.0000000Z,5.974068,6.217113,2021-04-03T00:00:00.0000000Z,13.1472,12.7941,2021-04-03T00:00:00.0000000Z,32.47581,32.34133
32,2021-04-06T00:00:00.0000000Z,59120.79,58079.35,2021-04-06T00:00:00.0000000Z,2107.45,2081.29,2021-04-06T00:00:00.0000000Z,221.42,226.24,2021-04-06T00:00:00.0000000Z,197.29,184.73,2021-04-06T00:00:00.0000000Z,1.0,0.9998,2021-04-06T00:00:00.0000000Z,0.536941,0.504872,2021-04-06T00:00:00.0000000Z,0.91604,1.06262,2021-04-06T00:00:00.0000000Z,273.939,267.473,2021-04-06T00:00:00.0000000Z,1.211627,1.219051,2021-04-06T00:00:00.0000000Z,23.0534,26.9959,2021-04-06T00:00:00.0000000Z,0.0599654,0.0619028,2021-04-06T00:00:00.0000000Z,6.242256,6.84,2021-04-06T00:00:00.0000000Z,12.7897,13.6742,2021-04-06T00:00:00.0000000Z,32.37029,32.77382
