Month,btc_start_date,price_close,volume_traded,eth_start_date,price_close,volume_traded,ltc_start_date,price_close,volume_traded,ADA_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,XLM_start_date,price_close,volume_traded,XRP_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,ZEC_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded,USDT_start_date,price_close,volume_traded,DASH_start_date,price_close,volume_traded,btc_start_date,price_close,volume_traded
Aug,2019-08-17T00:00:00.0000000Z,10125,35216.17044,2019-08-17T00:00:00.0000000Z,187.27,158630.7802,2019-08-17T00:00:00.0000000Z,72.94,134253.2401,2019-08-17T00:00:00.0000000Z,0.047186,29813224.47,2019-08-17T00:00:00.0000000Z,0,0,2019-08-17T00:00:00.0000000Z,0.066967,5776721.447,2019-08-17T00:00:00.0000000Z,0.26571,55796466.57,2019-08-17T00:00:00.0000000Z,0,0,2019-08-17T00:00:00.0000000Z,0,0,2019-08-17T00:00:00.0000000Z,0.26571,55796466.57,2019-08-17T00:00:00.0000000Z,0,0,2019-08-17T00:00:00.0000000Z,0.9981,5902009.453,2019-08-17T00:00:00.0000000Z,89.325,10619.66691,2019-08-17T00:00:00.0000000Z,0,0
Aug,2019-08-22T00:00:00.0000000Z,10364.6,35458.70032,2019-08-22T00:00:00.0000000Z,188.35,197852.7747,2019-08-22T00:00:00.0000000Z,73.63,99844.55495,2019-08-22T00:00:00.0000000Z,0.049663,38209963.13,2019-08-22T00:00:00.0000000Z,0,0,2019-08-22T00:00:00.0000000Z,0.06946,7364886.412,2019-08-22T00:00:00.0000000Z,0.27011,44316804.79,2019-08-22T00:00:00.0000000Z,0,0,2019-08-22T00:00:00.0000000Z,0,0,2019-08-22T00:00:00.0000000Z,0.27011,44316804.79,2019-08-22T00:00:00.0000000Z,0,0,2019-08-22T00:00:00.0000000Z,0.9991,10973239.88,2019-08-22T00:00:00.0000000Z,92.1,5233.533179,2019-08-22T00:00:00.0000000Z,0,0
Aug,2019-08-27T00:00:00.0000000Z,9604.3,31186.98875,2019-08-27T00:00:00.0000000Z,171.92,209081.0699,2019-08-27T00:00:00.0000000Z,64.29,152385.2602,2019-08-27T00:00:00.0000000Z,0.044879,56667664.48,2019-08-27T00:00:00.0000000Z,0,0,2019-08-27T00:00:00.0000000Z,0.062099,11298351.53,2019-08-27T00:00:00.0000000Z,0.25799,42519451.39,2019-08-27T00:00:00.0000000Z,0,0,2019-08-27T00:00:00.0000000Z,0,0,2019-08-27T00:00:00.0000000Z,0.25799,42519451.39,2019-08-27T00:00:00.0000000Z,0,0,2019-08-27T00:00:00.0000000Z,1.0002,14710835.29,2019-08-27T00:00:00.0000000Z,80,20648.17586,2019-08-27T00:00:00.0000000Z,0,0
Sept,2019-09-01T00:00:00.0000000Z,10574.9,34342.8133,2019-09-01T00:00:00.0000000Z,174,185392.6402,2019-09-01T00:00:00.0000000Z,65.39,99568.37033,2019-09-01T00:00:00.0000000Z,0.044323,37623110.88,2019-09-01T00:00:00.0000000Z,0,0,2019-09-01T00:00:00.0000000Z,0.060315,7710676.01,2019-09-01T00:00:00.0000000Z,0.25623,33233512.3,2019-09-01T00:00:00.0000000Z,0,0,2019-09-01T00:00:00.0000000Z,0,0,2019-09-01T00:00:00.0000000Z,0.25623,33233512.3,2019-09-01T00:00:00.0000000Z,0,0,2019-09-01T00:00:00.0000000Z,1.0006,10331080.94,2019-09-01T00:00:00.0000000Z,80.002,15100.71912,2019-09-01T00:00:00.0000000Z,0,0
Sept,2019-09-06T00:00:00.0000000Z,10094.5,26410.80947,2019-09-06T00:00:00.0000000Z,180.06,198502.6564,2019-09-06T00:00:00.0000000Z,70.76,91088.64283,2019-09-06T00:00:00.0000000Z,0.046531,34693950.5,2019-09-06T00:00:00.0000000Z,0,0,2019-09-06T00:00:00.0000000Z,0.059394,9113738.364,2019-09-06T00:00:00.0000000Z,0.25854,44514393.55,2019-09-06T00:00:00.0000000Z,0,0,2019-09-06T00:00:00.0000000Z,0,0,2019-09-06T00:00:00.0000000Z,0.25854,44514393.55,2019-09-06T00:00:00.0000000Z,0,0,2019-09-06T00:00:00.0000000Z,0.9991,4618033.47,2019-09-06T00:00:00.0000000Z,82.389,15374.19589,2019-09-06T00:00:00.0000000Z,0,0
Sept,2019-09-11T00:00:00.0000000Z,10311.3,21807.78177,2019-09-11T00:00:00.0000000Z,189.45,130102.859,2019-09-11T00:00:00.0000000Z,70.17,40732.60489,2019-09-11T00:00:00.0000000Z,0.046578,32151369.55,2019-09-11T00:00:00.0000000Z,0,0,2019-09-11T00:00:00.0000000Z,0.058194,8192805.001,2019-09-11T00:00:00.0000000Z,0.26043,27913732.79,2019-09-11T00:00:00.0000000Z,0,0,2019-09-11T00:00:00.0000000Z,0,0,2019-09-11T00:00:00.0000000Z,0.26043,27913732.79,2019-09-11T00:00:00.0000000Z,0,0,2019-09-11T00:00:00.0000000Z,1.001,8168922.188,2019-09-11T00:00:00.0000000Z,89,18569.73417,2019-09-11T00:00:00.0000000Z,0,0
Sept,2019-09-16T00:00:00.0000000Z,10173.3,25670.98255,2019-09-16T00:00:00.0000000Z,218.1,417440.8821,2019-09-16T00:00:00.0000000Z,75.05,147540.9565,2019-09-16T00:00:00.0000000Z,0.052506,122617259.9,2019-09-16T00:00:00.0000000Z,0,0,2019-09-16T00:00:00.0000000Z,0.07221,74063269.22,2019-09-16T00:00:00.0000000Z,0.29363,181958332.3,2019-09-16T00:00:00.0000000Z,0,0,2019-09-16T00:00:00.0000000Z,0,0,2019-09-16T00:00:00.0000000Z,0.29363,181958332.3,2019-09-16T00:00:00.0000000Z,0,0,2019-09-16T00:00:00.0000000Z,1,13824993.16,2019-09-16T00:00:00.0000000Z,96.692,38282.26285,2019-09-16T00:00:00.0000000Z,0,0
Sept,2019-09-21T00:00:00.0000000Z,8439,44272.22879,2019-09-21T00:00:00.0000000Z,169.92,434706.133,2019-09-21T00:00:00.0000000Z,57.45,205007.7664,2019-09-21T00:00:00.0000000Z,0.038967,44020655.69,2019-09-21T00:00:00.0000000Z,0,0,2019-09-21T00:00:00.0000000Z,0.057373,37769643.47,2019-09-21T00:00:00.0000000Z,0.24561,122959920.9,2019-09-21T00:00:00.0000000Z,0,0,2019-09-21T00:00:00.0000000Z,0,0,2019-09-21T00:00:00.0000000Z,0.24561,122959920.9,2019-09-21T00:00:00.0000000Z,0,0,2019-09-21T00:00:00.0000000Z,1.0005,12027209.67,2019-09-21T00:00:00.0000000Z,73.65,7793.726586,2019-09-21T00:00:00.0000000Z,0,0
Sept,2019-09-26T00:00:00.0000000Z,8310,43345.65081,2019-09-26T00:00:00.0000000Z,181.53,324751.4668,2019-09-26T00:00:00.0000000Z,56.12,141245.7304,2019-09-26T00:00:00.0000000Z,0.038933,24411975.97,2019-09-26T00:00:00.0000000Z,0,0,2019-09-26T00:00:00.0000000Z,0.06193,16239560.95,2019-09-26T00:00:00.0000000Z,0.25674,83713981.35,2019-09-26T00:00:00.0000000Z,0,0,2019-09-26T00:00:00.0000000Z,0,0,2019-09-26T00:00:00.0000000Z,0.25674,83713981.35,2019-09-26T00:00:00.0000000Z,0,0,2019-09-26T00:00:00.0000000Z,1.0022,9084912.63,2019-09-26T00:00:00.0000000Z,70.59,9761.736741,2019-09-26T00:00:00.0000000Z,0,0
Oct,2019-10-01T00:00:00.0000000Z,8148.4,29057.53113,2019-10-01T00:00:00.0000000Z,176.58,225225.265,2019-10-01T00:00:00.0000000Z,56.84,82665.62904,2019-10-01T00:00:00.0000000Z,0.039546,10744053.89,2019-10-01T00:00:00.0000000Z,0,0,2019-10-01T00:00:00.0000000Z,0.05902,11030918.31,2019-10-01T00:00:00.0000000Z,0.25375,64582995.42,2019-10-01T00:00:00.0000000Z,0,0,2019-10-01T00:00:00.0000000Z,0,0,2019-10-01T00:00:00.0000000Z,0.25375,64582995.42,2019-10-01T00:00:00.0000000Z,0,0,2019-10-01T00:00:00.0000000Z,1.0021,6976947.173,2019-10-01T00:00:00.0000000Z,69.795,5058.342599,2019-10-01T00:00:00.0000000Z,0,0
Oct,2019-10-06T00:00:00.0000000Z,8588.6,32227.86533,2019-10-06T00:00:00.0000000Z,191.56,245477.3097,2019-10-06T00:00:00.0000000Z,57.65,76032.34255,2019-10-06T00:00:00.0000000Z,0.041654,18764902.82,2019-10-06T00:00:00.0000000Z,0,0,2019-10-06T00:00:00.0000000Z,0.061685,14278564.85,2019-10-06T00:00:00.0000000Z,0.2711,75323813.64,2019-10-06T00:00:00.0000000Z,0,0,2019-10-06T00:00:00.0000000Z,0,0,2019-10-06T00:00:00.0000000Z,0.2711,75323813.64,2019-10-06T00:00:00.0000000Z,0,0,2019-10-06T00:00:00.0000000Z,1.003,11752755.98,2019-10-06T00:00:00.0000000Z,72.595,13073.51967,2019-10-06T00:00:00.0000000Z,0,0
